variant,threshold,final_equity_no_tc,final_equity_tc,total_fees_paid,arc,asd,mdd,ir_star,ir_starstar,pct_long,pct_short,pct_flat,trades_long,trades_short,trades_flat,trades_total
step1,0.005,505619.8617540888,3153.1398621790636,213477.0177704627,3.483591801513387,0.6362450893267767,0.27610670943882776,5.47523565989239,69.08012519840868,0.17775665399239543,0.16603295310519645,0.6562103929024081,1274.0,1263.0,1691.0,4228.0
step1,0.01,253746.75285512695,23829.814631551355,129535.58253617455,1.3681474413550534,0.48455224525382107,0.1985027787728113,2.8235292576931146,19.460706562325864,0.08132657372201098,0.06738487536966624,0.8512885509083228,625.0,557.0,966.0,2148.0
step1,0.015,121844.6270872054,31000.12032795303,76421.68750628876,0.20072259053377395,0.3857476126881724,0.20357600400200948,0.520346941708833,0.5130535233174764,0.0452049007182087,0.03495986480777355,0.9198352344740177,377.0,307.0,613.0,1297.0
step1,0.02,107376.40115162893,47176.60406182582,54599.25567713176,0.06811136469853918,0.3412953966890143,0.24294521039139994,0.19956719416465413,0.0559500387832882,0.026932826362484157,0.020278833967046894,0.9527883396704689,235.0,176.0,380.0,791.0
step1,0.025,108937.8205933987,66720.8216370516,39655.0647949634,0.0824837396460687,0.27911706678552944,0.2497790619630058,0.29551664681776096,0.09758751580549054,0.014681030840726658,0.012674271229404309,0.9726446979298691,132.0,113.0,230.0,475.0
step1,0.03,105147.95223120296,75883.35073575085,28392.379425052284,0.0475722708270907,0.23484549235276456,0.26364923633722637,0.20256837953539153,0.03655097942304141,0.009716941275876637,0.007921419518377694,0.9823616392057457,91.0,72.0,155.0,318.0
step1,0.04,125664.48117644039,109239.58053510558,14744.996307279813,0.23553369360755605,0.1195859144495155,0.05002175374139717,1.9695772256438209,9.274001091594968,0.00327418673426278,0.004119138149556401,0.9926066751161808,31.0,39.0,68.0,138.0
mean_horizon,0.005,373809.9001429837,1129.482170934873,232631.48507760934,2.389854149123952,0.6909614190737673,0.40703991543986895,3.4587374680449563,20.30729118987057,0.26404731727925645,0.19898605830164764,0.5369666244190959,1564.0,1335.0,1814.0,4713.0
mean_horizon,0.01,221004.61121786866,8135.016398561817,144969.57042753985,1.083815804045864,0.5448085512880337,0.2768070386970506,1.9893516749755709,7.789147253236405,0.13498098859315588,0.09125475285171103,0.7737642585551331,929.0,721.0,1296.0,2946.0
mean_horizon,0.015,188522.38492901504,27333.466498292106,110205.39166021421,0.7986267470708242,0.45892603564240997,0.2007764914093927,1.7402079748055637,6.922008769004008,0.0740388677651035,0.04847908745247148,0.877482044782425,576.0,389.0,826.0,1791.0
mean_horizon,0.02,132857.4068885572,39670.54192395658,81732.29391551719,0.3008734532412951,0.3704704237323209,0.18848829855250493,0.8121389292298478,1.296372485854904,0.04203633291085763,0.029467680608365018,0.9284959864807774,355.0,249.0,541.0,1145.0
mean_horizon,0.025,110377.1881613316,50880.52071708688,55464.064715769935,0.09571913369444118,0.31920536795361587,0.3295947055591609,0.2998669298955845,0.08708575189192473,0.025559780312632025,0.019011406844106463,0.9554288128432615,225.0,162.0,351.0,738.0
mean_horizon,0.03,87708.89379069595,54258.795568706104,34071.856638093785,-0.11433860031927878,0.28333191607032476,0.36380661059403596,-0.40355001972633125,-0.12682931829904046,0.015842839036755388,0.011723700887198986,0.9724334600760456,141.0,99.0,222.0,462.0
mean_horizon,0.04,123214.64675704615,98475.60389425483,22098.06607624143,0.21321703669042003,0.17809634541577005,0.14211436559931023,1.1972005163422075,1.7961839771950907,0.006759611322348965,0.005914659907055344,0.9873257287705957,60.0,52.0,105.0,217.0
