context_length,horizon,num_samples,starting_capital,threshold,fee_rate,runtime_seconds,model_path,equity_no_tc,equity_tc,fee,cum_fee,final_equity_no_tc,final_equity_tc,total_fees_paid,arc,asd,mdd,ir_star,ir_starstar,pct_long,pct_short,pct_flat,trades_long,trades_short,trades_flat,trades_total,data_rows,n_windows,device,run_name,model_family,source_path,variant,roi_no_tc,roi_tc,fee_impact,fee_ratio_vs_start,runtime_minutes,feature_cols,use_future_covariates,cross_learning,n_windows_total,n_windows_kept,prediction_length,scale_inputs,normalize_inputs,freq,rope_scale,model_id,patch_size,batch_size,repo_id,mu,sigma
512,1,5.0,100000.0,0.04,0.001,256.3014586250065,amazon/chronos-t5-mini,266099.82407328504,1340.8508966962072,0.0,111374.9196127026,133319.10670185144,114969.57126167705,16770.49591438958,0.3043626708028248,0.1565438307502202,0.0593767788447868,1.9442648703829344,9.966213395387197,0.0035838515863813,0.0043217033835775,0.9920944450300412,33.0,41.0,70.0,144.0,,,,ctx512_h1,chronos,chronos-results/ctx512_h1/metrics_sweep.csv,step1,0.33319106701851453,0.1496957126167704,18349.535440174397,0.1677049591438958,4.271690977083441,,,,,,,,,,,,,,,,
512,20,,100000.0,0.04,0.001,358.90765762492083,amazon/chronos-2,381865.4356074129,5531.000425691174,0.0,171130.4956155578,126344.70026607146,109392.33658620872,15569.274130502436,0.2417243707160079,0.1305639906245771,0.0620012991668824,1.851386201966365,7.217996568395487,0.0039079002957329,0.0042247570764681,0.9918673426277989,34.0,38.0,71.0,143.0,10000.0,,cpu,ctx512_h20_cov4_fut0,chronos2,chronos2-results/ctx512_h20_cov4_fut0/metrics_sweep.csv,step1,0.26344700266071475,0.09392336586208727,16952.36367986274,0.15569274130502436,5.98179429374868,"['open', 'high', 'low', 'volume']",False,False,9469.0,9469.0,,,,,,,,,,,
512,5,,100000.0,0.04,0.001,62.6617843748536,Datadog/Toto-Open-Base-1.0,520823.7343649627,18997.628876009538,18.98610565835143,213995.90711973733,176626.0454261304,109048.26616721493,50467.954067203485,0.6918836657315992,0.3579294263155772,0.1381463438855741,1.933016999618196,9.681203642458428,0.0346936623431403,0.0238321206369292,0.9414742170199304,136.0,105.0,238.0,479.0,,,,ctx512_h5,toto,toto-results/ctx512_h5/metrics_sweep.csv,step1,0.7662604542613041,0.09048266167214924,67577.77925891549,0.5046795406720349,1.0443630729142268,,,,,,,,,,,,,8.0,,,
512,3,,100000.0,0.04,0.001,324.4182888751384,amazon/chronos-2,394132.78417044866,5441.018569678607,0.0,169303.7631390057,124760.77437806551,107589.49870519868,15611.351425190063,0.2268547438990802,0.1313835758076069,0.059338640364653,1.7266598393643782,6.60111140485723,0.0041117554032683,0.0042171850289931,0.9916710595677384,36.0,38.0,73.0,147.0,10000.0,,cpu,ctx512_h3_cov4_fut0,chronos2,chronos2-results/ctx512_h3_cov4_fut0/metrics_sweep.csv,step1,0.2476077437806552,0.07589498705198672,17171.275672866832,0.15611351425190062,5.406971481252307,"['open', 'high', 'low', 'volume']",False,False,9486.0,9486.0,,,,,,,,,,,
2048,20,,100000.0,0.025,0.001,1167.5334841659642,,159349.67705109413,47107.22930460292,0.0,83889.14260780484,124810.6560333352,93564.00289647673,28109.072393444734,0.2775259779451227,0.1698882444360039,0.0995273909888448,1.6335796444683692,4.555135866398256,0.0115985879979828,0.0080685829551185,0.9803328290468988,83.0,61.0,136.0,280.0,,,,ctx2048_h20_normTrue,timesfm,timesfm-results/ctx2048_h20_normTrue/metrics_sweep.csv,mean_horizon,0.24810656033335188,-0.06435997103523272,31246.65313685847,0.28109072393444734,19.45889140276607,,,,,,,,True,,,,,,,,
2048,3,,100000.0,0.03,0.001,1160.006970583985,,159349.67705109413,47107.22930460292,0.0,83889.14260780484,107139.12175320488,91290.35432179536,14993.150981292943,0.0790100119608143,0.1417080084733663,0.1038060901780479,0.5575550232622463,0.4243722982072013,0.0056610894452132,0.0049062775191848,0.989432633035602,43.0,37.0,77.0,157.0,,,,ctx2048_h3_normTrue,timesfm,timesfm-results/ctx2048_h3_normTrue/metrics_sweep.csv,mean_horizon,0.0713912175320488,-0.08709645678204647,15848.76743140952,0.14993150981292944,19.333449509733086,,,,,,,,True,,,,,,,,
2048,5,,100000.0,0.03,0.001,1162.861440958979,,159349.67705109413,47107.22930460292,0.0,83889.14260780484,107528.5950229871,91256.18305629258,15353.715453034789,0.0833581306956396,0.1439127870449952,0.1064844315846668,0.5792267136733114,0.4534301905194025,0.0061658487479552,0.0047816786208632,0.9890524726311816,46.0,36.0,78.0,160.0,,,,ctx2048_h5_normTrue,timesfm,timesfm-results/ctx2048_h5_normTrue/metrics_sweep.csv,mean_horizon,0.07528595022987083,-0.08743816943707428,16272.411966694519,0.15353715453034789,19.381024015982984,,,,,,,,True,,,,,,,,
2048,1,,100000.0,0.03,0.001,1163.8901456669555,,159349.67705109413,47107.22930460292,0.0,83889.14260780484,106508.17887235686,90752.74492004848,14978.603123788143,0.0719861389214442,0.1416639077077063,0.1038060901780479,0.5081473473820338,0.3523836171699105,0.0055338951075336,0.0050308137341214,0.9894352911583448,42.0,38.0,77.0,157.0,,,,ctx2048_h1_normTrue,timesfm,timesfm-results/ctx2048_h1_normTrue/metrics_sweep.csv,step1,0.06508178872356862,-0.09247255079951511,15755.433952308376,0.14978603123788142,19.39816909444926,,,,,,,,True,,,,,,,,
1024,3,,100000.0,0.03,0.001,972.0330122499728,,182427.35902246373,31480.309428571203,0.0,109526.86269926451,105898.2677035375,85145.94770419366,19169.075407861572,0.0575823407632209,0.1478634442012202,0.1333098797187544,0.3894291863299219,0.1682114195714688,0.0069096177421152,0.0057951632675805,0.9872952189903044,59.0,50.0,106.0,215.0,,,,ctx1024_h3_normTrue,timesfm,timesfm-results/ctx1024_h3_normTrue/metrics_sweep.csv,step1,0.058982677035374964,-0.14854052295806341,20752.319999343832,0.19169075407861572,16.200550204166213,,,,,,,,True,,,,,,,,
1024,5,,100000.0,0.03,0.001,946.3922702499548,,182427.35902246373,31480.309428571203,0.0,109526.86269926451,105898.2677035375,85145.94770419366,19169.075407861572,0.0575955409945732,0.1478799252794742,0.1333098797187544,0.3894750479872435,0.1682697947071723,0.006911158176346,0.0057964552446772,0.9872923865789768,59.0,50.0,106.0,215.0,,,,ctx1024_h5_normTrue,timesfm,timesfm-results/ctx1024_h5_normTrue/metrics_sweep.csv,step1,0.058982677035374964,-0.14854052295806341,20752.319999343832,0.19169075407861572,15.773204504165912,,,,,,,,True,,,,,,,,
