variant,threshold,final_equity_no_tc,final_equity_tc,total_fees_paid,arc,asd,mdd,ir_star,ir_starstar,pct_long,pct_short,pct_flat,trades_long,trades_short,trades_flat,trades_total
step1,0.005,24257.27764214026,18202.447289809035,9488.076398778188,-0.7305586015879127,0.8199885338471473,0.8189943762309616,-0.8909375819687925,-0.794733313042536,0.5928390367553865,0.33016476552598223,0.07699619771863118,76.0,68.0,126.0,270.0
step1,0.01,19977.989149900186,15855.390480769405,7626.99577294083,-0.774874183899569,0.8110796642083674,0.8364362190349119,-0.9553613758222679,-0.8850464023109818,0.5624207858048162,0.3122095479509928,0.12536966624419096,60.0,56.0,109.0,225.0
step1,0.015,20236.45830171972,16287.098048387044,7437.670106205299,-0.7721788715602089,0.806999493998651,0.8385152882263944,-0.9568517419188118,-0.8811535206330073,0.5402408111533586,0.2989015631601183,0.16085762568652304,60.0,49.0,104.0,213.0
step1,0.02,21683.21080613418,17381.852284549077,7555.2604639692545,-0.7571383234307096,0.7963743684890375,0.8247160666714267,-0.9507316576087569,-0.8728281191121523,0.5218631178707225,0.28569919729615545,0.1924376848331221,52.0,59.0,109.0,220.0
step1,0.025,23759.028786494346,18372.0967007561,8448.700874685197,-0.7356864596132868,0.7912638732696327,0.82621221119624,-0.9297612142625812,-0.8278898892286206,0.5077101816645543,0.26827207435572453,0.22401774397972116,56.0,73.0,127.0,256.0
step1,0.03,27076.412396440915,20687.452682057374,10493.516617017185,-0.7016870220503033,0.7833496086728008,0.8121220707473912,-0.895752055380668,-0.7739447244144713,0.4883819180397127,0.24651457541191382,0.26510350654837345,69.0,66.0,133.0,268.0
step1,0.04,28375.043424014526,21165.286416152885,12947.931767249607,-0.6884636874872863,0.7722408045134922,0.7927255310360554,-0.891514257552105,-0.7742593989620049,0.4430713983945923,0.21176594845796368,0.34516265314744404,83.0,64.0,145.0,292.0
mean_horizon,0.005,23651.996759253012,18289.112348605788,8847.506156749407,-0.7367890429852809,0.8176341862741111,0.8145696640957012,-0.9011230882392105,-0.8150777607619141,0.6100549218419941,0.3247782002534854,0.06516687790452048,75.0,54.0,115.0,244.0
mean_horizon,0.01,24010.232993015885,18979.406439828737,8764.836670747361,-0.7331001395362269,0.8112414290131266,0.8038850665495424,-0.9036768997708138,-0.8241049484364571,0.5727714406421631,0.3074566962399662,0.11977186311787072,62.0,56.0,109.0,227.0
mean_horizon,0.015,21520.820158185274,17812.888618073477,6600.527632969588,-0.7588227482350163,0.8045546118471204,0.8172901532495103,-0.9431587825876586,-0.8756869718540049,0.5537600337980566,0.29182509505703425,0.15441487114490918,47.0,48.0,90.0,185.0
mean_horizon,0.02,22127.690135780023,18315.252937007215,6599.497342585784,-0.7525326470556917,0.7983034267338937,0.8249575714397248,-0.9426649339769662,-0.8599062092541764,0.5360160540768906,0.2754541613857203,0.1885297845373891,40.0,55.0,93.0,188.0
mean_horizon,0.025,23054.11514043617,19273.936114549197,6263.616202566027,-0.7429549402630906,0.7935588724328453,0.829700599814878,-0.9362316597700985,-0.83834811860098,0.5238698774820448,0.2579214195183777,0.21820870299957754,33.0,57.0,88.0,178.0
mean_horizon,0.03,23349.618123395467,19326.6517783078,6437.992765155134,-0.7399059822656116,0.7887667185647046,0.833704119391714,-0.938054262243717,-0.832515930028376,0.5158428390367554,0.2367976341360372,0.24735952682720744,28.0,67.0,93.0,188.0
mean_horizon,0.04,26360.001302851742,20712.28864893298,8169.3608032578795,-0.7090019089080912,0.7740925473217588,0.822004285003175,-0.9159136221645963,-0.7900013641742933,0.4785593578369244,0.1998310097169413,0.32160963244613433,60.0,61.0,120.0,241.0
