base_timestamp,horizon_step,forecast_timestamp,y_true,y_pred
2018-01-22 07:00:00+00:00,20,2018-01-23 03:00:00+00:00,10699.97,11726.165
2018-01-22 08:00:00+00:00,20,2018-01-23 04:00:00+00:00,10808.99,11743.416
2018-01-22 09:00:00+00:00,20,2018-01-23 05:00:00+00:00,10808.25,11853.414
2018-01-22 10:00:00+00:00,20,2018-01-23 06:00:00+00:00,10725.91,11735.85
2018-01-22 11:00:00+00:00,20,2018-01-23 07:00:00+00:00,10780.0,12080.729
2018-01-22 12:00:00+00:00,20,2018-01-23 08:00:00+00:00,10850.0,12046.86
2018-01-22 13:00:00+00:00,20,2018-01-23 09:00:00+00:00,10631.21,11984.046
2018-01-22 14:00:00+00:00,20,2018-01-23 10:00:00+00:00,10439.15,11995.094
2018-01-22 15:00:00+00:00,20,2018-01-23 11:00:00+00:00,10350.0,11966.074
2018-01-22 16:00:00+00:00,20,2018-01-23 12:00:00+00:00,10310.0,11582.167
2018-01-22 17:00:00+00:00,20,2018-01-23 13:00:00+00:00,10729.1,11355.712
2018-01-22 18:00:00+00:00,20,2018-01-23 14:00:00+00:00,10524.44,10709.164
2018-01-22 19:00:00+00:00,20,2018-01-23 15:00:00+00:00,10362.39,10686.568
2018-01-22 20:00:00+00:00,20,2018-01-23 16:00:00+00:00,10196.47,10584.971
2018-01-22 21:00:00+00:00,20,2018-01-23 17:00:00+00:00,10260.1,10539.513
2018-01-22 22:00:00+00:00,20,2018-01-23 18:00:00+00:00,10317.8,10637.243
2018-01-22 23:00:00+00:00,20,2018-01-23 19:00:00+00:00,10451.0,10599.576
2018-01-23 00:00:00+00:00,20,2018-01-23 20:00:00+00:00,10774.61,10619.486
2018-01-23 01:00:00+00:00,20,2018-01-23 21:00:00+00:00,11370.0,10014.063
2018-01-23 02:00:00+00:00,20,2018-01-23 22:00:00+00:00,11183.9,9910.309
2018-01-23 03:00:00+00:00,20,2018-01-23 23:00:00+00:00,11234.98,10465.391
2018-01-23 04:00:00+00:00,20,2018-01-24 00:00:00+00:00,11025.0,10708.684
2018-01-23 05:00:00+00:00,20,2018-01-24 01:00:00+00:00,11128.44,10752.917
2018-01-23 06:00:00+00:00,20,2018-01-24 02:00:00+00:00,10980.54,10562.352
