timestamp,y_true,eq_step1_thr0.005_no_tc,eq_step1_thr0.005_tc,eq_step1_thr0.010_no_tc,eq_step1_thr0.010_tc,eq_step1_thr0.015_no_tc,eq_step1_thr0.015_tc,eq_step1_thr0.020_no_tc,eq_step1_thr0.020_tc,eq_step1_thr0.025_no_tc,eq_step1_thr0.025_tc,eq_step1_thr0.030_no_tc,eq_step1_thr0.030_tc
2018-03-27 07:00:00+00:00,7860.34,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-03-27 08:00:00+00:00,7765.0,98787.07536824106,98688.28829287282,98787.07536824106,98688.28829287282,98787.07536824106,98688.28829287282,98787.07536824106,98688.28829287282,98787.07536824106,98688.28829287282,98787.07536824106,98688.28829287282
2018-03-27 09:00:00+00:00,7925.43,100828.08122803849,100727.25314681046,100828.08122803849,100727.25314681046,100828.08122803849,100727.25314681046,100828.08122803849,100727.25314681046,100828.08122803849,100727.25314681046,100828.08122803849,100727.25314681046
2018-03-27 10:00:00+00:00,7972.43,101426.01973960415,101324.59371986456,101426.01973960415,101324.59371986456,101426.01973960415,101324.59371986456,101426.01973960415,101324.59371986456,101426.01973960415,101324.59371986456,101426.01973960415,101324.59371986456
2018-03-27 11:00:00+00:00,7922.16,100786.47997414871,100685.69349417457,100786.47997414871,100685.69349417457,100786.47997414871,100685.69349417457,100786.47997414871,100685.69349417457,100786.47997414871,100685.69349417457,100786.47997414871,100685.69349417457
2018-03-27 12:00:00+00:00,7943.32,101055.67952531317,100954.62384578786,101055.67952531317,100954.62384578786,101055.67952531317,100954.62384578786,101055.67952531317,100954.62384578786,101055.67952531317,100954.62384578786,101055.67952531317,100954.62384578786
2018-03-27 13:00:00+00:00,7931.64,100907.08544414112,100806.17835869698,100907.08544414112,100806.17835869698,100907.08544414112,100806.17835869698,100907.08544414112,100806.17835869698,100907.08544414112,100806.17835869698,100907.08544414112,100806.17835869698
2018-03-27 14:00:00+00:00,8006.03,101853.48216489366,101751.62868272877,101853.48216489366,101751.62868272877,101853.48216489366,101751.62868272877,101853.48216489366,101751.62868272877,101853.48216489366,101751.62868272877,101853.48216489366,101751.62868272877
2018-03-27 15:00:00+00:00,7934.23,100940.03567275719,100839.09563708444,100940.03567275719,100839.09563708444,100940.03567275719,100839.09563708444,101853.48216489366,101649.87705404604,101853.48216489366,101649.87705404604,101853.48216489366,101649.87705404604
2018-03-27 16:00:00+00:00,7947.28,101106.05902543658,101004.95296641115,101106.05902543658,101004.95296641115,101106.05902543658,101004.95296641115,102021.00792886216,101715.25086607835,102021.00792886216,101715.25086607835,101853.48216489366,101649.87705404604
2018-03-27 17:00:00+00:00,8100.0,103048.97752514525,102945.92854762012,103048.97752514525,102945.92854762012,103048.97752514525,102945.92854762012,103981.50867010897,103669.87598464313,103981.50867010897,103669.87598464313,101853.48216489366,101649.87705404604
2018-03-27 18:00:00+00:00,8061.07,103544.24872206549,103233.82306439674,103544.24872206549,103233.82306439674,103544.24872206549,103233.82306439674,103981.50867010897,103566.20610865849,103981.50867010897,103566.20610865849,101853.48216489366,101649.87705404604
2018-03-27 19:00:00+00:00,8057.89,103585.09574497139,103274.54762792797,103585.09574497139,103274.54762792797,103585.09574497139,103274.54762792797,103981.50867010897,103566.20610865849,103981.50867010897,103566.20610865849,101853.48216489366,101649.87705404604
2018-03-27 20:00:00+00:00,8096.76,103085.41745802443,102776.36737648527,103085.41745802443,102776.36737648527,103585.09574497139,103171.27308030004,103981.50867010897,103566.20610865849,103981.50867010897,103566.20610865849,101853.48216489366,101649.87705404604
2018-03-27 21:00:00+00:00,7914.61,105404.49432210083,105088.49164812318,105404.49432210083,105088.49164812318,105915.41369807196,105386.78912710883,103981.50867010897,103566.20610865849,103981.50867010897,103566.20610865849,101853.48216489366,101649.87705404604
2018-03-27 22:00:00+00:00,7885.22,105404.49432210083,104983.40315647505,105404.49432210083,104983.40315647505,105915.41369807196,105281.40233798172,103981.50867010897,103566.20610865849,103981.50867010897,103566.20610865849,101853.48216489366,101649.87705404604
2018-03-27 23:00:00+00:00,7894.09,105523.06271520046,104996.39637073851,105523.06271520046,104996.39637073851,106034.55681893631,105294.43243395314,104098.47636180355,103579.02392429375,104098.47636180355,103579.02392429375,101968.05606223612,101662.45769624953
2018-03-28 00:00:00+00:00,7995.0,106871.96198776904,106338.5632775981,106871.96198776904,106338.5632775981,107389.99451075372,106640.4091300524,105429.16517453175,104903.07258654622,105429.16517453175,104903.07258654622,103271.51175342285,102962.00692942632
2018-03-28 01:00:00+00:00,8005.27,107009.24467064765,106475.16078164575,107009.24467064765,106475.16078164575,107527.94263378381,106777.39437104874,105564.5945086584,105037.82612694195,105564.5945086584,105037.82612694195,103404.16946770775,103094.26706840885
2018-03-28 02:00:00+00:00,7969.43,106530.15885230598,105998.46608397606,106530.15885230598,105998.46608397606,107046.53457834097,106299.3465582631,105091.97646239758,104567.56644945579,105091.97646239758,104567.56644945579,103404.16946770775,102991.17280134045
2018-03-28 03:00:00+00:00,7791.7,104154.37976486555,103634.54452658675,104154.37976486555,103634.54452658675,104659.23955340084,103928.71492415624,105091.97646239758,104462.99888300632,105091.97646239758,104462.99888300632,103404.16946770775,102991.17280134045
2018-03-28 04:00:00+00:00,7799.5,104258.6450936341,103738.28946636977,104258.6450936341,103738.28946636977,104764.0102797528,104032.75434769776,105197.1803866255,104463.00558648558,105197.1803866255,104463.00558648558,103507.68378702807,102991.17941037139
2018-03-28 05:00:00+00:00,7830.0,104666.34926381885,104143.958782188,104666.34926381885,104143.958782188,105173.69068407775,104439.57517052036,105608.55470572188,104871.50890982526,105197.1803866255,104358.5425808991,103507.68378702807,102888.18823096102
2018-03-28 06:00:00+00:00,7828.99,104652.8482404783,104130.52514254942,104652.8482404783,104130.52514254942,105160.12421822961,104426.10339901049,105594.93214630261,104857.9814227245,105183.61089081573,104240.736180607,103494.33222117559,102772.0416579225
2018-03-28 07:00:00+00:00,7862.27,105097.71364322414,104573.17021895699,105097.71364322414,104573.17021895699,105607.14598399795,104870.00493945429,106043.80222300842,105303.71881947022,105630.73249531981,104683.84974954637,103934.27292570079,103208.91200088827
2018-03-28 08:00:00+00:00,7831.56,104687.20232957255,104164.7077701446,104687.20232957255,104164.7077701446,105194.64482934814,104460.38305522865,105629.59549056746,104892.4028502977,105218.13921183663,104274.95498686223,103528.30600755269,102805.77834005657
2018-03-28 09:00:00+00:00,7848.57,104914.58095038704,104390.9515426714,104914.58095038704,104390.9515426714,105423.12560566181,104687.26902887494,105859.02097147988,105120.22716275697,105446.67101750412,104501.4382142558,103753.1675275038,103029.07054359766
2018-03-28 10:00:00+00:00,7891.61,105489.91168759199,104963.41080014079,105489.91168759199,104963.41080014079,106001.24510081414,105261.35323262196,106439.53083029651,105696.68562297137,106024.9196310214,105074.50335870142,104322.12930402916,103594.06151599089
2018-03-28 11:00:00+00:00,7880.97,105347.68308527181,104821.89206177011,105347.68308527181,104821.89206177011,105858.32708435455,105119.43278820123,106296.02188750356,105554.17823410797,105881.96969496601,104932.83483786264,104181.47518455356,103454.38902653308
2018-03-28 12:00:00+00:00,7908.21,105711.80969497122,105184.20131301234,105711.80969497122,105184.20131301234,106224.21869792213,105482.7704673385,106663.42636134567,105919.01857928083,106247.94302749878,105295.52755474689,104181.47518455356,103350.93463750655
2018-03-28 13:00:00+00:00,8090.14,108143.73165174856,107603.9855302848,108143.73165174856,107603.9855302848,108667.92872935945,107909.42332950616,109117.24045554899,108355.70741912303,108692.19884202481,107717.87285514169,104181.47518455356,103350.93463750655
